fold_id,split,speaker,utterance_id,wav_path,transcript_path,textgrid_path,annotation_path,duration_seconds,audio_pcm_sha256
held_out_ska,train,ABA,arctic_a0001,speakers/ABA/wav/arctic_a0001.wav,speakers/ABA/transcript/arctic_a0001.txt,speakers/ABA/textgrid/arctic_a0001.TextGrid,,3.2,ddb242704b21852d7d0984878b684936ff51fc3c793dad5b3debda916a593735
held_out_ska,train,ABA,arctic_a0002,speakers/ABA/wav/arctic_a0002.wav,speakers/ABA/transcript/arctic_a0002.txt,speakers/ABA/textgrid/arctic_a0002.TextGrid,,5.23,992d31120f58e577f068ad0ce5412c67718b821c80c607100ca3697bb81fdb83
held_out_ska,train,ABA,arctic_a0003,speakers/ABA/wav/arctic_a0003.wav,speakers/ABA/transcript/arctic_a0003.txt,speakers/ABA/textgrid/arctic_a0003.TextGrid,speakers/ABA/annotation/arctic_a0003.TextGrid,4.92,17858419ddfc39af159325b3f5d310a2df886938a73b00ee06b5c749feab9fe8
held_out_ska,train,ABA,arctic_a0004,speakers/ABA/wav/arctic_a0004.wav,speakers/ABA/transcript/arctic_a0004.txt,speakers/ABA/textgrid/arctic_a0004.TextGrid,,3.361519274,300a8fbde351c7377e079990332fb9c75a7f4ea80fe2f8f9f14598395f3f0a5b
held_out_ska,train,ABA,arctic_a0005,speakers/ABA/wav/arctic_a0005.wav,speakers/ABA/transcript/arctic_a0005.txt,speakers/ABA/textgrid/arctic_a0005.TextGrid,speakers/ABA/annotation/arctic_a0005.TextGrid,2.39,ce990032425b439f59a6ce9adbc59aa99908321ae29947892bb972ff6f293f4e
held_out_ska,train,ABA,arctic_a0006,speakers/ABA/wav/arctic_a0006.wav,speakers/ABA/transcript/arctic_a0006.txt,speakers/ABA/textgrid/arctic_a0006.TextGrid,speakers/ABA/annotation/arctic_a0006.TextGrid,4.749024943,210fb3ddf2fa4a25aab45cb6a6d573a5cc0a7a2ac46a6a4b09ba8c33cb8488c2
held_out_ska,train,ABA,arctic_a0007,speakers/ABA/wav/arctic_a0007.wav,speakers/ABA/transcript/arctic_a0007.txt,speakers/ABA/textgrid/arctic_a0007.TextGrid,speakers/ABA/annotation/arctic_a0007.TextGrid,4.98,b5628d06a74206ca153622fa5b33b1374fd0962f7e1f729a34969bbf84fc5f8d
held_out_ska,train,ABA,arctic_a0008,speakers/ABA/wav/arctic_a0008.wav,speakers/ABA/transcript/arctic_a0008.txt,speakers/ABA/textgrid/arctic_a0008.TextGrid,speakers/ABA/annotation/arctic_a0008.TextGrid,3.16,2a7e2812ab6727afd8589aa0800e410b7513193b19c1d8bf5595f38e58160021
held_out_ska,train,ABA,arctic_a0009,speakers/ABA/wav/arctic_a0009.wav,speakers/ABA/transcript/arctic_a0009.txt,speakers/ABA/textgrid/arctic_a0009.TextGrid,,3.625941043,37fdfbd98ff6bf94b9423b4db819af628fc63e772805c1d6be342368c400a62c
held_out_ska,train,ABA,arctic_a0010,speakers/ABA/wav/arctic_a0010.wav,speakers/ABA/transcript/arctic_a0010.txt,speakers/ABA/textgrid/arctic_a0010.TextGrid,speakers/ABA/annotation/arctic_a0010.TextGrid,3.876893424,43db80aa3d676bbffd6d6ffda0354f961d70b3537a37ab69aa6880326a6a155e
held_out_ska,train,ABA,arctic_a0011,speakers/ABA/wav/arctic_a0011.wav,speakers/ABA/transcript/arctic_a0011.txt,speakers/ABA/textgrid/arctic_a0011.TextGrid,speakers/ABA/annotation/arctic_a0011.TextGrid,3.753197279,03f39c9f1169b42ab41d888039d2ae5df7c6d65430dc12c98e0de95d9813a671
held_out_ska,train,ABA,arctic_a0012,speakers/ABA/wav/arctic_a0012.wav,speakers/ABA/transcript/arctic_a0012.txt,speakers/ABA/textgrid/arctic_a0012.TextGrid,,4.283310658,3f66a300b489100815b530cb461e13dfc2ea0f9ad1be9e74031631c811aa222d
held_out_ska,train,ABA,arctic_a0013,speakers/ABA/wav/arctic_a0013.wav,speakers/ABA/transcript/arctic_a0013.txt,speakers/ABA/textgrid/arctic_a0013.TextGrid,speakers/ABA/annotation/arctic_a0013.TextGrid,5.912426304,ea599f36269cc4b5ea306e2bc7354142fa986b2384fbf6a608af7514edf8cef8
held_out_ska,train,ABA,arctic_a0014,speakers/ABA/wav/arctic_a0014.wav,speakers/ABA/transcript/arctic_a0014.txt,speakers/ABA/textgrid/arctic_a0014.TextGrid,,3.592562358,349b14785fbdd3d275bc91b8d5b69f5b3149f53774fa0d3d2761fb12ca71198b
held_out_ska,train,ABA,arctic_a0015,speakers/ABA/wav/arctic_a0015.wav,speakers/ABA/transcript/arctic_a0015.txt,speakers/ABA/textgrid/arctic_a0015.TextGrid,,2.391564626,98ce6c06a74aae0f8c07eebe2aff11d112ad9ad6f6a415907e79410b81b61982
held_out_ska,train,ABA,arctic_a0016,speakers/ABA/wav/arctic_a0016.wav,speakers/ABA/transcript/arctic_a0016.txt,speakers/ABA/textgrid/arctic_a0016.TextGrid,,5.718684807,5f226e68d1eff86ea8c23f2be220587937cb60f9d45e9f0c4113bffc3136aedc
held_out_ska,train,ABA,arctic_a0018,speakers/ABA/wav/arctic_a0018.wav,speakers/ABA/transcript/arctic_a0018.txt,speakers/ABA/textgrid/arctic_a0018.TextGrid,speakers/ABA/annotation/arctic_a0018.TextGrid,1.3969161,7c88d586453cbb43a9b754149e9dbc4b1b10ccbab54e496f34cfc58a3b80e06a
held_out_ska,train,ABA,arctic_a0019,speakers/ABA/wav/arctic_a0019.wav,speakers/ABA/transcript/arctic_a0019.txt,speakers/ABA/textgrid/arctic_a0019.TextGrid,speakers/ABA/annotation/arctic_a0019.TextGrid,5.3,03336fb27daf5e1b91c164b446fb5b2ebd23e4a21e762ca991322ac2bec96788
held_out_ska,train,ABA,arctic_a0020,speakers/ABA/wav/arctic_a0020.wav,speakers/ABA/transcript/arctic_a0020.txt,speakers/ABA/textgrid/arctic_a0020.TextGrid,speakers/ABA/annotation/arctic_a0020.TextGrid,4.282517007,48a2ee667f9945f6e6ebea361b6f039c265ed839df569db00294beb7905cf0e2
held_out_ska,train,ABA,arctic_a0021,speakers/ABA/wav/arctic_a0021.wav,speakers/ABA/transcript/arctic_a0021.txt,speakers/ABA/textgrid/arctic_a0021.TextGrid,speakers/ABA/annotation/arctic_a0021.TextGrid,3.824965986,3cee88bea41056ff37e5d9e848f19de0ee2e3143598b12c8e09d24b65db5537b
held_out_ska,train,ABA,arctic_a0022,speakers/ABA/wav/arctic_a0022.wav,speakers/ABA/transcript/arctic_a0022.txt,speakers/ABA/textgrid/arctic_a0022.TextGrid,speakers/ABA/annotation/arctic_a0022.TextGrid,7.160430839,bdab641b08ba8473b9a2acea9ca1cd5a33fa02c34afe14b0742d4a784ad67c58
held_out_ska,train,ABA,arctic_a0023,speakers/ABA/wav/arctic_a0023.wav,speakers/ABA/transcript/arctic_a0023.txt,speakers/ABA/textgrid/arctic_a0023.TextGrid,speakers/ABA/annotation/arctic_a0023.TextGrid,6.835963719,fbc982d9d546eeefda2547d0bde9a60c263bb29f4f3576e34b95c9cae9bfec73
held_out_ska,train,ABA,arctic_a0024,speakers/ABA/wav/arctic_a0024.wav,speakers/ABA/transcript/arctic_a0024.txt,speakers/ABA/textgrid/arctic_a0024.TextGrid,speakers/ABA/annotation/arctic_a0024.TextGrid,5.54,5f369e3a0f22852782ed18e400994ea353cc889c56299666017717a7447cc53a
